rank,ID,name,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
198,8217,san-juan,Hand Management|Set Collection|Variable Phase Order,Alea Small Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,Card Game|City Building|Economic,18908,7.29612,7.19048,20257,1|3|151,77|170|18,156|95|5,101|126|17,2|7|124,0|0|1|0|1|11|28|11|0,1|9|47|15|0,0,2
199,9217,saint-petersburg,Card Drafting|Set Collection,Cities: St Petersburg / Petrograd / Leningrad|Country: Russia|Saint Petersburg|Tableau Building,Age of Reason|Card Game|Economic,12497,7.33401,7.19033,10631,0|7|106,90|102|28,68|128|12,138|58|13,4|8|88,0|0|0|0|0|3|24|12|0,57|6|0|0|0,0,2
200,21348,ticket-ride-marklin,Card Drafting|Hand Management|Point to Point Movement|Route/Network Building|Set Collection,Cities: Bremerhaven|Country: Germany|Ticket to Ride,Trains|Transportation|Travel,7775,7.41511,7.1827,9439,0|2|54,5|54|22,27|54|4,66|22|1,NA,0|0|0|1|1|8|8|0|1,27|3|0|0|0,0,2
201,15987,arkham-horror,Co-operative Play|Dice Rolling|Hand Management|Point to Point Movement|Role Playing|Variable Player Powers,Arkham Horror|Cthulhu Mythos|Solitaire Games,Adventure|Fantasy|Fighting|Horror|Novel-based,30408,7.34739,7.1823,38675,83|345|232,105|453|131,243|455|33,562|244|20,NA,0|0|0|0|1|9|27|74|142,0|2|10|317|90,0,3
202,2653,survive-escape-atlantis,Action Point Allowance System|Dice Rolling|Grid Movement|Memory|Modular Board|Secret Unit Deployment,Animals: Dolphins|Animals: Sharks|Atlantis|Survive!,Adventure|Animals|Bluffing|Nautical,13974,7.32837,7.1811,19866,0|0|114,2|82|79,17|149|14,186|19|2,12|17|59,0|0|1|6|23|25|6|2|1,48|3|2|0|0,0,1
203,79828,few-acres-snow,Area Control / Area Influence|Card Drafting|Deck / Pool Building|Hand Management|Point to Point Movement,"Cities: Boston (Massachusetts, USA)|Cities: New York (New York, USA)|Country: Canada|French and Indian War",Age of Reason|American Indian Wars|Card Game|Territory Building|Wargame,6301,7.44413,7.18011,8141,1|5|39,72|6|0,NA,NA,NA,0|0|0|0|0|1|5|20|9,0|25|11|0|0,0,3
204,24480,pillars-earth,Worker Placement,Country: England|Ken Follett novels|Kosmos Literature Series|The Pillars of the Earth,Economic|Medieval|Novel-based|Religious,13225,7.31829,7.17909,14599,1|4|122,26|103|71,73|129|13,136|63|17,6|16|86,0|0|0|0|0|1|18|26|4,0|13|51|7|1,0,2
205,147949,one-night-ultimate-werewolf,Role Playing|Variable Player Powers|Voting,Crowdfunding: Kickstarter|One Night Ultimate|Werewolf / Mafia,Bluffing|Card Game|Deduction|Horror|Party Game,11659,7.35445,7.17195,18614,0|0|100,0|1|101,2|31|89,9|66|33,NA,0|0|0|1|2|10|19|4|2,23|6|0|0|0,0,1
206,160477,onitama,Grid Movement,5x5 grid|Combinatorial|Dice Tower Essentials,Abstract Strategy,3818,7.63977,7.16958,6801,0|0|13,18|1|0,NA,NA,NA,0|0|0|0|0|3|2|0|0,8|0|0|0|0,0,1
207,55670,macao,Action Point Allowance System|Card Drafting|Dice Rolling|Hand Management|Pick-up and Deliver|Route/Network Building|Set Collection,Alea Big Box|Asian Theme|Colonial Theme|Country: Macao|Country: Portugal,Dice|Nautical,5833,7.44125,7.16941,6008,0|3|52,30|68|11,60|42|2,34|51|15,0|0|45,0|0|0|0|0|1|1|10|3,0|0|20|17|0,0,3
208,90137,blood-bowl-team-manager-card-game,Area Control / Area Influence|Card Drafting|Deck / Pool Building|Dice Rolling|Hand Management,Blood Bowl|Fantasy Sports|Warhammer Fantasy Card Games,Card Game|Fantasy|Fighting|Sports,8253,7.38742,7.16713,10956,0|3|85,29|81|30,38|87|10,127|28|3,4|13|49,0|0|0|0|0|3|15|23|7,0|6|13|36|2,0,2
209,39683,gates-loyang,Card Drafting|Set Collection,Asian Theme|Country: China|Crowdfunding: Wspieram|Harvest Series|Solitaire Games,Economic|Farming,7264,7.388,7.16311,9084,69|112|37,193|73|10,45|106|70,30|94|94,0|1|105,0|0|0|0|0|0|13|26|4,1|5|41|12|1,0,3
210,40354,maria,Hand Management|Point to Point Movement|Secret Unit Deployment|Simulation,Age of Kings,Age of Reason|Negotiation|Political|Wargame,1957,7.96869,7.16022,2716,0|2|48,3|32|28,80|2|1,NA,NA,0|0|0|0|0|1|1|8|11,7|21|1|0|0,0,3
211,73171,earth-reborn,Action Point Allowance System|Card Drafting|Dice Rolling|Grid Movement|Hand Management|Modular Board|Secret Unit Deployment,"",Adventure|Bluffing|Fighting|Miniatures|Science Fiction|Spies/Secret Agents|Zombies,2876,7.77165,7.15999,5349,1|3|42,69|10|1,9|32|18,12|37|13,0|0|42,0|0|0|0|0|2|4|10|14,24|14|2|0|0,0,3
212,25417,battlelore,Campaign / Battle Card Driven|Dice Rolling|Grid Movement|Hand Management|Modular Board|Variable Player Powers,BattleLore|Commands & Colors,Fantasy|Medieval|Miniatures|Wargame,8654,7.40073,7.15934,10126,2|7|84,131|12|1,NA,NA,NA,0|0|0|0|0|16|30|12|3,0|3|47|10|0,0,2
213,96913,lancaster,Area Control / Area Influence|Auction/Bidding|Voting|Worker Placement,Country: England|Queen Yellow Wave Box Series,Medieval,4889,7.48429,7.15735,5557,0|0|63,3|24|67,21|53|27,81|39|1,NA,0|0|0|0|0|1|8|18|1,27|5|0|0|0,0,2
214,128996,1775-rebellion,Area Movement|Campaign / Battle Card Driven|Dice Rolling|Partnerships|Variable Player Powers,Birth of America Series|Country: Canada|Country: USA|Crowdfunding: Kickstarter|Holidays:  4th of July,Age of Reason|American Indian Wars|American Revolutionary War|Educational|Wargame,2443,7.82401,7.15437,3647,0|2|46,46|32|1,0|43|14,47|23|3,0|0|38,0|0|0|0|0|5|9|2|0,0|6|4|0|0,0,2
215,176396,quadropolis,Card Drafting|Hand Management|Pattern Building|Set Collection|Tile Placement,"",City Building|Environmental,5513,7.47404,7.1541,7743,0|2|39,9|44|3,11|42|1,41|16|1,0|0|36,0|0|0|0|3|7|7|0|0,19|0|0|0|0,0,2
216,66188,fresco,Action / Movement Programming|Grid Movement|Set Collection|Simultaneous Action Selection,Queen Yellow Wave Box Series|Visual Arts: Painting,Renaissance,8973,7.33835,7.15325,10640,0|1|63,9|60|48,52|66|1,104|21|2,0|0|50,0|0|0|0|0|7|14|12|1,45|1|0|0|0,0,2
217,13122,antiquity,Modular Board|Tile Placement|Trading,Polyominoes,City Building|Civilization|Economic|Environmental|Medieval,2242,7.83476,7.15324,2305,0|4|22,32|21|1,36|18|0,19|25|4,0|0|22,0|0|0|0|0|0|1|2|9,2|9|14|0|0,0,4
218,83330,mansions-madness,Area Movement|Dice Rolling|Hand Management|Modular Board|Partnerships|Pick-up and Deliver|Role Playing|Variable Player Powers,Arkham Horror|Cthulhu Mythos,Adventure|Exploration|Fantasy|Fighting|Horror|Miniatures|Murder/Mystery|Puzzle,10719,7.39152,7.15318,15667,1|2|132,9|87|68,24|131|18,61|120|4,NA,0|0|0|0|0|1|3|17|40,0|1|4|101|16,0,3
219,712,blood-bowl-third-edition,Dice Rolling|Grid Movement|Variable Player Powers,Blood Bowl|Fantasy Sports|Games Workshop Specialist Games|Warhammer Fantasy Board Games,Fantasy|Fighting|Miniatures|Sports|Wargame,4532,7.57178,7.15153,5507,0|1|22,33|1|0,NA,NA,NA,0|0|0|0|0|2|4|8|0,2|12|5|0|0,0,2
220,875,roads-boats,Grid Movement|Line Drawing|Modular Board|Pick-up and Deliver|Route/Network Building,Solitaire Games,City Building|Civilization|Economic|Industry / Manufacturing|Transportation,2518,7.7611,7.15032,3478,7|27|3,27|21|2,19|27|2,12|23|7,2|6|22,0|0|0|0|0|1|1|7|2,17|4|0|0|0,0,4
221,18833,lord-rings-confrontation,Area Movement|Hand Management|Secret Unit Deployment|Simultaneous Action Selection|Variable Player Powers,Tolkien Games,Adventure|Bluffing|Deduction|Fantasy|Movies / TV / Radio theme|Novel-based,4587,7.51078,7.14708,5642,1|0|38,62|0|0,NA,NA,NA,0|0|0|0|1|11|9|1|1,0|4|14|1|0,0,2
222,118,modern-art,Auction/Bidding|Commodity Speculation|Hand Management,Visual Arts: Painting,Card Game|Economic,11528,7.30427,7.14616,11870,0|0|112,0|2|113,12|84|54,103|63|1,NA,0|0|0|0|0|3|15|12|1,52|4|0|0|0,0,2
223,139976,cthulhu-wars,Action Point Allowance System|Area Movement|Dice Rolling|Variable Player Powers,Crowdfunding: Kickstarter|Cthulhu Mythos|Cthulhu Wars,Fantasy|Fighting|Horror|Miniatures,2197,8.04107,7.14227,2979,0|0|38,1|10|33,5|42|5,57|11|0,27|22|3,0|0|0|0|0|2|6|10|9,0|6|16|2|0,0,3
224,65781,london,Card Drafting|Hand Management,Cities: London|Country: England|Tableau Building|Treefrog Line,City Building|Economic,5528,7.41888,7.14101,5314,0|6|64,25|78|27,93|31|2,23|78|11,0|1|50,0|0|0|0|0|1|10|19|1,1|4|32|6|1,0,2
225,66362,glen-more,Commodity Speculation|Dice Rolling|Grid Movement|Set Collection|Tile Placement|Time Track,Alea Medium Box|Country: Scotland|Tableau Building,City Building|Economic|Farming,7187,7.35985,7.14083,7313,0|2|72,30|89|18,52|64|6,86|37|7,NA,0|0|0|0|0|0|14|17|1,7|48|9|0|0,0,2
226,102652,sentinels-multiverse,Co-operative Play|Hand Management|Variable Player Powers,Crowdfunding: Kickstarter|Sentinel Comics|Solitaire Games|Superheroes,Card Game|Comic Book / Strip|Fighting,11228,7.3476,7.14081,16392,25|88|93,25|107|74,75|123|11,153|58|11,NA,0|0|0|0|1|14|38|12|7,0|1|6|71|11,0,2
227,136063,forbidden-desert,Action Point Allowance System|Co-operative Play|Grid Movement|Modular Board|Pick-up and Deliver|Set Collection|Variable Player Powers,Desert Theme|Forbidden Games|Mensa Select,Adventure|Fantasy|Science Fiction,15228,7.28003,7.1404,26193,4|49|35,12|79|7,34|64|1,60|32|3,NA,0|0|1|1|9|26|8|1|1,1|27|1|0|0,0,2
228,182631,star-realms-colony-wars,Deck / Pool Building,Star Realms,Card Game|Science Fiction,2002,7.97426,7.14029,5707,1|3|12,20|0|0,NA,NA,NA,0|0|0|0|0|1|1|0|0,0|2|1|3|0,0,1
229,5404,amun-re,Area Control / Area Influence|Auction/Bidding,Country: Egypt|Rivers: Nile,Ancient|Economic,7269,7.36268,7.13556,7208,0|0|123,0|1|133,7|76|99,41|126|28,NA,0|0|0|0|0|3|7|14|0,40|3|2|0|0,0,3
230,17226,descent-journeys-dark,Dice Rolling|Grid Movement|Modular Board|Partnerships|Role Playing|Variable Player Powers,Descent|Fantasy Flight Big Box|The Realms of Terrinoth,Adventure|Exploration|Fantasy|Fighting|Miniatures,10345,7.34576,7.13419,12349,0|2|166,23|103|70,35|133|34,79|114|19,NA,0|0|0|0|4|6|33|31|17,0|1|14|91|7,0,3
231,100901,flash-point-fire-rescue,Action Point Allowance System|Co-operative Play|Dice Rolling|Grid Movement|Pick-up and Deliver|Simulation|Variable Player Powers,Crowdfunding: Kickstarter|Firefighting|Flash Point: Fire Rescue|Solitaire Games,Adventure,14039,7.2729,7.13398,21686,10|94|38,16|128|15,40|109|1,106|59|1,NA,0|0|3|7|17|37|11|2|0,6|52|4|1|0,0,2
232,154809,nippon,Area Control / Area Influence|Variable Phase Order,Country: Japan,Economic|Industry / Manufacturing,2269,7.82977,7.13277,2898,0|0|24,4|21|7,11|24|2,31|9|0,0|0|16,0|0|0|0|0|0|1|3|4,17|0|0|0|0,0,3
233,150658,pandemic-cure,Co-operative Play|Dice Rolling|Hand Management|Point to Point Movement|Press Your Luck|Set Collection|Variable Player Powers,Pandemic,Dice|Environmental|Medical,5880,7.41479,7.1314,9277,4|35|14,13|50|4,41|20|0,30|23|1,NA,0|0|0|0|0|8|2|1|1,0|20|0|0|0,0,2
234,133038,pathfinder-adventure-card-game-rise-runelords-base,Co-operative Play|Deck / Pool Building|Dice Rolling|Hand Management|Role Playing,Campaign Games|From RPG books to board games|Pathfinder Adventure Card Game|Solitaire Games,Adventure|Card Game|Fantasy|Fighting,9772,7.34943,7.12576,15223,51|114|16,43|118|3,88|69|4,94|69|8,21|57|60,0|0|0|1|1|7|31|18|6,0|0|8|68|6,0,2
235,144592,bruxelles-1893,Auction/Bidding|Card Drafting|Modular Board|Worker Placement,Cities: Brussels|Country: Belgium,Economic,2945,7.65848,7.12504,3473,0|0|27,8|28|16,25|29|1,42|12|2,NA,0|0|0|0|0|1|0|4|13,29|0|0|0|0,0,3
236,172081,burgle-bros,Action Point Allowance System|Co-operative Play|Dice Rolling|Grid Movement|Modular Board|Variable Player Powers,Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede,Exploration|Maze|Spies/Secret Agents,3010,7.6736,7.12319,6053,5|16|5,13|16|1,16|12|0,15|10|4,1|2|12,0|0|0|0|0|3|4|2|1,0|1|8|0|0,0,2
237,98778,hanabi,Co-operative Play|Hand Management|Memory|Set Collection,Country: Japan|Headband deduction games,Card Game|Deduction|Memory,24411,7.21093,7.12254,39287,0|2|185,33|141|81,87|151|8,172|79|3,NA,0|0|0|0|3|25|31|8|1,91|0|0|0|0,0,1
238,27162,kingsburg,Dice Rolling|Worker Placement,"",City Building|Dice|Fantasy|Medieval,15401,7.24042,7.11827,14797,0|3|129,21|109|69,68|142|11,152|74|5,NA,0|0|0|0|1|15|36|13|1,2|26|51|2|0,0,2
239,13,catan,Dice Rolling|Hand Management|Modular Board|Route/Network Building|Trading,Catan|Promotional Board Games,Negotiation,68912,7.25948,7.11825,97503,1|2|712,7|123|650,352|592|68,803|234|22,38|112|432,0|0|1|4|23|125|110|23|4,19|257|28|1|0,0,2
240,172,sale,Auction/Bidding|Hand Management,Gryphon Games bookshelf series,Card Game|Economic,15878,7.22358,7.11732,18627,0|3|128,1|5|127,16|135|34,86|119|0,NA,0|0|0|3|12|31|5|0|0,62|0|0|0|0,0,1
241,11170,heroscape-master-set-rise-valkyrie,Dice Rolling|Grid Movement|Modular Board,3D Games|Heroscape,Adventure|Fantasy|Fighting|Miniatures|Science Fiction,6966,7.42124,7.1161,10871,0|5|58,78|12|1,10|54|18,32|47|10,5|25|35,0|0|0|3|8|21|6|3|0,0|6|14|8|1,0,2
242,97786,small-world-underground,Area Control / Area Influence|Area Movement|Dice Rolling|Variable Player Powers,Small World,Fantasy|Fighting|Territory Building,7209,7.36765,7.11552,11549,0|1|35,9|29|15,18|25|6,41|7|1,NA,0|0|1|0|1|9|5|6|0,3|8|16|0|0,0,2
243,137408,amerigo,Action Point Allowance System|Grid Movement|Modular Board|Tile Placement,Colonial Theme|Crowdfunding: Kickstarter,Nautical|Renaissance,4004,7.50575,7.11266,5470,0|1|28,12|48|4,23|34|1,42|13|4,0|1|22,0|0|0|0|0|2|9|9|1,30|0|0|0|0,0,3
244,42052,vinhos,Area Control / Area Influence|Worker Placement,Country: Portugal|Wine Games,Economic|Industry / Manufacturing,3658,7.54006,7.10951,4127,0|1|30,13|56|7,28|38|1,52|17|2,0|1|24,0|0|0|0|0|0|3|16|16,46|0|0|0|0,0,4
245,58421,egizia,Card Drafting|Time Track|Worker Placement,Country: Egypt,Ancient|Farming,4369,7.45811,7.10914,3595,0|0|49,12|56|32,36|65|0,76|20|5,0|0|38,0|0|0|0|0|1|11|8|0,0|10|21|1|0,0,2
246,163967,tiny-epic-galaxies,Area Control / Area Influence|Dice Rolling|Variable Player Powers,4X games|Crowdfunding: Kickstarter|Tiny Epic,Dice|Science Fiction|Space Exploration,6354,7.3983,7.10883,11808,11|52|11,25|59|6,64|23|1,20|47|17,NA,0|0|0|0|1|11|6|2|0,0|2|13|1|0,0,2
247,105551,archipelago,Area Control / Area Influence|Auction/Bidding|Commodity Speculation|Modular Board|Tile Placement|Trading|Worker Placement,Colonial Theme|Tropical theme,Civilization|Economic|Exploration|Nautical|Negotiation|Renaissance,5241,7.42588,7.10291,7269,2|29|33,8|49|29,26|55|4,69|17|4,NA,0|0|0|0|0|0|3|12|8,1|8|27|1|0,0,3
248,36553,times-title-recall,Acting|Memory|Partnerships,Time's Up!,Humor|Movies / TV / Radio theme|Party Game,2204,7.78874,7.10225,3281,0|0|17,0|0|17,0|2|17,9|11|3,NA,0|0|0|0|0|0|0|2|1,2|0|0|1|3,0,1
249,63888,innovation,Hand Management|Variable Phase Order,Innovation|Tableau Building,Card Game|Civilization,11035,7.25627,7.10103,14138,2|4|164,224|104|8,107|161|34,30|122|136,0|3|174,0|0|0|0|0|0|9|28|12,0|0|1|65|9,0,2
250,205359,star-wars-destiny,Dice Rolling|Hand Management|Variable Player Powers,CCGs (Collectible Card Games)|CDGs (Collectible Dice Games)|Star Wars|Star Wars: Destiny,Collectible Components|Dice|Fighting|Movies / TV / Radio theme|Science Fiction,1880,8.14243,7.10087,3394,0|0|13,16|0|1,NA,NA,NA,0|0|0|0|0|5|3|3|0,0|0|2|2|0,0,2
251,169255,game-thrones-card-game-second-edition,Card Drafting|Hand Management|Simultaneous Action Selection|Variable Player Powers,CCGs (Collectible Card Games)|A Game of Thrones LCG|Living Card Game|A Song of Ice and Fire,Card Game|Collectible Components|Fantasy|Fighting|Medieval|Negotiation|Novel-based,2341,7.89269,7.09844,4619,0|0|27,37|4|0,2|25|7,6|22|5,1|9|15,0|0|0|0|0|0|1|2|10,0|0|0|12|1,0,3
252,116998,thunderstone-advance-towers-ruin,Card Drafting|Deck / Pool Building|Hand Management,Solitaire Games|Thunderstone|Thunderstone Advance,Card Game|Fantasy,4102,7.5016,7.09787,6412,11|33|18,34|40|3,50|25|1,12|43|12,NA,0|0|0|0|0|0|8|15|2,0|0|7|27|0,0,2
253,3685,hammer-scots,Area Movement|Area-Impulse|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Secret Unit Deployment|Simultaneous Action Selection,Block wargames|Country: Scotland,Medieval|Wargame,3408,7.56795,7.09534,4351,0|2|26,40|1|0,NA,NA,NA,0|0|0|0|0|0|1|15|0,0|18|1|0|0,0,2
254,138161,firefly-game,Area Movement|Card Drafting|Dice Rolling|Pick-up and Deliver|Take That|Trading|Variable Player Powers,Firefly: The Game|Solitaire Games|TV Series: Firefly,Movies / TV / Radio theme|Science Fiction|Space Exploration|Travel,7088,7.41539,7.09326,12947,9|61|29,25|84|12,75|52|1,57|59|17,NA,0|0|0|0|0|3|11|27|8,1|4|7|42|5,0,2
255,127398,legends-andor,Area Movement|Co-operative Play|Dice Rolling|Variable Player Powers,Campaign Games|Legends of Andor,Adventure|Fantasy|Fighting|Puzzle,8097,7.32846,7.09162,13598,13|67|29,19|100|8,30|87|7,115|27|5,1|7|47,0|0|1|1|6|24|26|13|4,0|0|4|53|6,0,2
256,188834,secret-hitler,Partnerships|Player Elimination|Voting,Crowdfunding: Kickstarter|Werewolf / Mafia,Bluffing|Card Game|Deduction|Party Game|Political|Print & Play|World War II,4075,7.62488,7.08956,6099,0|0|44,0|0|44,0|0|44,0|2|43,NA,0|0|0|0|0|0|1|6|7,5|10|0|0|0,0,1
257,146791,shadows-brimstone-city-ancients,Co-operative Play|Dice Rolling|Grid Movement|Modular Board|Role Playing|Variable Player Powers,Admin: Better Description Needed!|Campaign Games|Crowdfunding: Kickstarter|Shadows of Brimstone,Adventure|American West|Exploration|Fighting|Horror|Miniatures,2154,8.04367,7.08928,4563,7|31|14,10|30|4,22|25|2,30|17|4,5|17|18,1|0|0|0|0|3|6|16|6,0|0|4|26|1,0,3
258,62222,commands-colors-napoleonics,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Hex-and-Counter|Modular Board,Commands & Colors|Commands & Colors: Napoleonics,Napoleonic|Wargame,1841,7.9716,7.08921,3416,0|8|9,27|4|0,NA,NA,NA,0|0|0|0|0|0|5|6|2,0|2|8|0|0,0,2
259,90419,airlines-europe,Card Drafting|Route/Network Building|Set Collection|Stock Holding,"",Aviation / Flight|Economic,5464,7.37613,7.08646,6498,0|0|70,4|48|46,25|72|5,71|32|0,NA,0|0|0|0|0|7|18|7|0,37|2|0|0|0,0,2
260,62227,labyrinth-war-terror-2001,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Point to Point Movement|Variable Player Powers,Middle Eastern Theme|Solitaire Games|Solitaire Wargames,Modern Warfare|Political|Religious|Wargame,3221,7.59234,7.08334,6488,26|45|11,71|11|0,NA,NA,NA,0|0|0|0|0|0|0|4|22,0|0|6|51|7,0,3
261,128671,spartacus-game-blood-treachery,Auction/Bidding|Betting/Wagering|Dice Rolling|Grid Movement|Hand Management|Trading|Variable Player Powers,Ancient Rome|Gladiators,Ancient|Fighting|Movies / TV / Radio theme|Negotiation,4829,7.47923,7.08327,6241,0|0|49,0|3|59,3|59|10,79|13|0,9|6|18,0|0|0|0|0|1|3|4|13,0|4|17|3|1,0,2
262,34219,biblios,Auction/Bidding|Card Drafting|Hand Management|Memory|Press Your Luck|Set Collection,"",Card Game|Economic|Medieval|Religious,10182,7.24684,7.0821,13103,0|0|101,49|114|28,109|86|2,78|95|11,0|2|81,0|1|0|0|2|21|15|1|0,56|1|0|0|0,0,1
263,158899,colt-express,Action / Movement Programming|Hand Management|Memory|Modular Board|Take That|Variable Player Powers,3D Games,American West|Fighting|Trains,12450,7.2339,7.08136,17881,0|1|114,1|18|121,7|97|42,60|96|4,NA,0|0|1|1|11|28|7|1|0,40|3|0|0|1,0,1
264,125618,libertalia,Hand Management|Set Collection|Simultaneous Action Selection|Variable Phase Order,"",Card Game|Pirates,9083,7.2627,7.08085,10951,0|0|73,7|40|77,20|87|14,80|59|4,NA,0|0|0|0|0|8|13|10|3,0|1|19|12|3,0,2
265,475,taj-mahal,Auction/Bidding|Card Drafting|Hand Management|Route/Network Building|Set Collection,Alea Big Box|Asian Theme|Country: India,Bluffing|Political,6256,7.32993,7.07921,6830,0|0|71,0|8|69,10|57|36,88|28|0,NA,0|0|0|0|0|1|4|9|1,28|0|0|0|0,0,3
266,171668,grizzled,Co-operative Play|Hand Management|Press Your Luck|Variable Player Powers,"",Card Game|World War I,6076,7.35323,7.07823,10749,0|2|38,3|12|34,9|46|6,29|29|2,NA,0|0|0|0|0|2|14|2|1,1|10|6|0|0,0,1
267,162082,deus,Grid Movement|Hand Management|Modular Board|Route/Network Building,Tableau Building,Civilization|Mythology,4785,7.39763,7.07431,5496,0|1|47,26|58|10,37|45|0,32|45|8,0|0|38,0|0|0|0|0|1|8|6|3,3|8|17|2|0,0,2
268,141572,paperback,Card Drafting|Co-operative Play|Deck / Pool Building,Crowdfunding: Kickstarter,Card Game|Print & Play|Word Game,4894,7.393,7.07415,8367,0|15|26,34|20|0,16|32|1,9|28|8,NA,0|0|0|0|1|3|4|2|0,0|2|1|2|10,0,1
269,113924,zombicide,Action Point Allowance System|Co-operative Play|Dice Rolling|Hand Management|Modular Board|Player Elimination|Variable Player Powers,Crowdfunding: Kickstarter|Solitaire Games|Zombicide,Horror|Miniatures|Zombies,11298,7.31639,7.07328,16288,21|92|32,45|89|19,105|51|5,51|83|27,NA,0|0|0|1|2|22|30|21|12,5|62|6|0|0,0,2
270,6472,game-thrones-first-edition,Area Movement|Auction/Bidding|Hand Management|Memory|Player Elimination|Simultaneous Action Selection|Variable Player Powers,A Game of Thrones: The Board Game|A Song of Ice and Fire,Bluffing|Fantasy|Negotiation|Novel-based|Political|Wargame,9369,7.28988,7.06797,8930,0|0|103,0|1|109,1|23|115,11|93|45,NA,0|0|0|0|0|0|2|8|29,0|42|21|1|0,0,3
271,34119,tales-arabian-nights,Dice Rolling|Point to Point Movement|Role Playing|Storytelling|Variable Player Powers,Cities: Samarkand|Crowdfunding: Giochistarter|Solitaire Games,Adventure|Arabian|Book|Exploration|Fantasy,8830,7.28181,7.0665,12844,3|46|94,44|122|19,148|47|2,34|119|23,NA,0|0|0|1|1|7|16|27|6,0|0|0|70|52,0,2
272,166669,san-juan-second-edition,Hand Management|Set Collection|Variable Phase Order,Alea Medium Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,Card Game|City Building|Economic,2608,7.65409,7.06611,4448,0|1|16,14|18|0,17|11|0,6|19|2,0|0|11,0|0|0|0|0|2|3|4|0,0|0|2|6|0,0,2
273,27173,vikings,Auction/Bidding|Tile Placement,Vikings,Economic|Medieval|Nautical|Territory Building,6844,7.2928,7.06505,6552,0|1|80,61|88|20,105|56|2,35|84|33,0|1|71,0|0|0|0|0|7|17|4|2,48|4|0|0|0,0,2
274,39351,automobile,Commodity Speculation|Variable Player Powers,Automotive|Treefrog Line,Economic|Industry / Manufacturing,4747,7.37175,7.06477,4696,0|0|57,0|5|58,5|50|40,44|61|4,NA,0|0|0|0|0|1|2|16|5,23|16|2|0|0,0,3
275,163968,elysium,Card Drafting|Set Collection,Country: Greece|Tableau Building,Ancient|Card Game|Mythology,5236,7.36503,7.06465,7299,0|1|50,22|59|16,43|44|2,41|45|8,0|0|43,0|0|0|0|0|0|6|11|2,5|9|5|0|0,0,2
276,198994,hero-realms,Card Drafting|Deck / Pool Building|Hand Management,Crowdfunding: Kickstarter,Card Game|Fantasy|Fighting,2168,7.86992,7.06399,5096,0|8|6,21|1|1,0|15|2,1|13|3,0|1|8,0|0|0|0|0|3|4|0|0,0|0|2|0|0,0,1
277,50,lost-cities,Hand Management|Set Collection,Archaeology|Card Games: Draw and Discard Games|Kosmos two-player series|Lost Cities,Card Game|Exploration,27135,7.14959,7.06335,35045,1|4|177,222|16|2,NA,NA,NA,0|0|0|2|12|55|15|1|0,111|0|0|0|0,0,1
278,43570,friday,Deck / Pool Building|Hand Management,Freitag-Project|Solitaire Games,Card Game|Fighting|Novel-based|Pirates,9250,7.25257,7.06231,16727,176|4|1,NA,NA,NA,NA,0|0|0|0|0|12|21|15|2,0|64|9|1|0,0,2
279,9625,struggle-empires,Area Control / Area Influence|Area Movement|Auction/Bidding|Dice Rolling,Admin: Better Description Needed!|Colonial Theme,Age of Reason|Civilization|Fighting|Political|Territory Building,3420,7.51418,7.06211,4122,0|0|59,0|8|65,0|15|56,7|58|18,NA,0|0|0|0|0|0|0|7|6,1|15|8|1|0,0,3
280,3307,wallenstein-first-edition,Action / Movement Programming|Action Point Allowance System|Area Control / Area Influence|Area Movement|Simultaneous Action Selection|Variable Phase Order,Country: Germany,Economic|Renaissance|Territory Building,3294,7.52972,7.06067,2652,1|3|29,1|7|28,4|27|15,23|24|3,NA,0|0|0|0|0|0|3|8|2,3|13|3|0|0,0,3
281,192458,51st-state-master-set,Card Drafting|Hand Management|Variable Phase Order|Worker Placement,Neuroshima|Tableau Building,Card Game|City Building|Economic|Science Fiction,1910,7.90951,7.05676,3374,2|19|4,23|12|2,10|15|2,1|12|11,0|0|13,0|0|0|0|0|0|0|2|1,0|2|1|1|0,0,2
282,478,citadels,Card Drafting|Set Collection|Simultaneous Action Selection|Variable Phase Order|Variable Player Powers,Fantasy Flight Silver Line Games|Tableau Building,Bluffing|Card Game|City Building|Fantasy|Medieval,38143,7.14351,7.05524,50227,1|4|461,148|254|331,153|333|220,244|433|59,NA,0|0|0|0|11|29|70|27|2,0|67|128|6|2,0,2
283,183562,star-wars-x-wing-miniatures-game-force-awakens-cor,Action / Movement Programming|Dice Rolling|Variable Player Powers,Star Wars|Star Wars: X-Wing Miniatures Game,Aviation / Flight|Collectible Components|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,1467,8.14307,7.05498,5027,1|0|9,9|0|0,NA,NA,NA,0|0|0|1|0|3|5|1|0,0|0|3|2|0,0,2
