rank,ID,name,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
550,137649,level-7-omega-protocol,Action Point Allowance System|Dice Rolling|Modular Board|Partnerships|Variable Player Powers,Campaign Games|Level 7,Fighting|Horror|Miniatures|Science Fiction,1480,7.57856,6.7426,2949,1|4|20,3|12|9,6|16|3,14|16|0,NA,0|1|0|0|0|0|1|3|4,0|1|8|3|0,0,3
551,59946,dungeons-dragons-castle-ravenloft-board-game,Co-operative Play|Dice Rolling|Grid Movement|Modular Board|Role Playing|Variable Player Powers,Dungeons & Dragons|Dungeons and Dragons Adventure System Board Games|From RPG books to board games|Solitaire Games|Vampires,Adventure|Exploration|Fantasy|Fighting|Horror|Miniatures,6962,6.9874,6.74227,11425,17|58|27,24|68|8,39|60|2,63|41|0,NA,0|0|0|1|4|17|33|11|6,1|2|12|59|1,0,2
552,153016,telestrations-12-player-party-pack,Line Drawing|Paper-and-Pencil,"",Party Game,1097,7.83114,6.741,2245,0|0|14,0|0|13,0|0|13,0|2|13,NA,0|0|0|0|0|2|2|0|0,1|0|0|1|0,0,1
553,122522,smash,Area Control / Area Influence|Hand Management|Take That|Variable Player Powers,Smash Up,Card Game|Fantasy|Humor|Pirates|Science Fiction|Zombies,16401,6.88105,6.74008,26597,0|1|153,51|106|54,131|87|8,99|90|33,7|20|119,0|0|0|0|0|17|23|13|0,0|2|10|50|7,0,2
554,15817,manila,Auction/Bidding|Betting/Wagering|Commodity Speculation|Dice Rolling|Worker Placement,Admin: Better Description Needed!|Asian Theme|Cities: Manila|Colonial Theme|Country: Philippines|Tropical theme,Nautical|Pirates|Transportation,4577,7.01742,6.73871,4659,0|0|40,0|7|36,10|47|10,56|15|0,NA,0|0|0|0|0|3|13|1|0,32|0|0|0|0,0,2
555,18100,china,Area Control / Area Influence|Card Drafting|Hand Management|Route/Network Building,Asian Theme|Country: China|Web of Power / China,Ancient|Territory Building,3985,7.03393,6.73836,3999,0|0|39,0|8|33,56|17|2,20|54|2,NA,0|0|0|0|0|2|6|2|0,23|0|0|0|0,0,2
556,97903,terror-meeple-city,Area Movement|Set Collection|Variable Player Powers,Finger Flicking Games|Kaiju|Monsters,Action / Dexterity|Horror,5837,6.95236,6.73496,9309,0|1|29,0|37|6,6|37|2,45|2|0,1|1|15,0|0|1|5|9|8|0|0|0,16|9|0|0|0,0,1
557,104020,vanuatu,Auction/Bidding|Modular Board|Variable Phase Order|Worker Placement,Country: Vanuatu|Crowdfunding: Indiegogo|Oceanian Theme|Tropical theme,Economic|Nautical,2126,7.28681,6.7348,2013,0|0|30,0|18|22,14|28|11,36|19|2,NA,1|0|1|0|0|0|2|8|2,18|7|0|0|1,0,3
558,94246,1812-invasion-canada,Area Movement|Campaign / Battle Card Driven|Dice Rolling|Partnerships|Variable Player Powers,Birth of America Series|Country: Canada,Educational|Wargame,1788,7.39608,6.73316,2310,0|3|34,32|18|2,1|36|10,4|35|7,NA,0|0|0|0|0|2|9|5|1,0|10|4|0|0,0,2
559,2093,mahjong,Hand Management|Set Collection,Asian Theme|Card Games: Draw and Discard Games|Card Games: Exchange Games|Mahjong|Promotional Board Games|Rummy Games,Abstract Strategy,5040,7.02399,6.73104,6880,0|0|56,2|9|52,2|27|35,75|6|0,1|1|55,0|0|1|0|1|2|11|5|2,23|12|1|0|0,0,2
