rank,ID,name,mechanics,families,categories,n.ratings,rating
47,157354,five-tribes,Area Control / Area Influence|Auction/Bidding|Modular Board|Set Collection|Variable Phase Order,Animals: Camels|Country: Saudi Arabia,Arabian|Fantasy|Mythology,17931,7.82798
48,110327,lords-waterdeep,Set Collection|Take That|Worker Placement,Dungeons & Dragons|From RPG books to board games,City Building|Fantasy,29670,7.7949
49,132531,roll-galaxy,Deck / Pool Building|Dice Rolling|Simultaneous Action Selection|Variable Phase Order|Variable Player Powers,Crowdfunding: Wspieram|Race for the Galaxy|Tableau Building,Civilization|Dice|Economic|Science Fiction|Space Exploration,14877,7.84388
50,93,el-grande,Area Control / Area Influence|Area Movement|Auction/Bidding|Card Drafting|Hand Management|Memory|Simultaneous Action Selection,Country: Spain|El Grande,Renaissance,18645,7.80238
51,40834,dominion-intrigue,Card Drafting|Deck / Pool Building|Hand Management,Crowdfunding: Wspieram|Dominion,Card Game|Medieval,23446,7.78995
52,103885,star-wars-x-wing-miniatures-game,Action / Movement Programming|Dice Rolling|Player Elimination|Simultaneous Action Selection|Variable Player Powers,FlightPath|Star Wars|Star Wars: X-Wing Miniatures Game,Aviation / Flight|Bluffing|Collectible Components|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,17150,7.87105
53,159675,fields-arle,Worker Placement,Admin: Better Description Needed!|Country: Germany|Crowdfunding: Wspieram|Harvest Series|Solitaire Games,Economic|Farming|Industry / Manufacturing,3670,8.21384
54,37111,battlestar-galactica,Area Movement|Co-operative Play|Dice Rolling|Hand Management|Partnerships|Role Playing|Variable Player Powers,Battlestar Galactica,Bluffing|Deduction|Movies / TV / Radio theme|Political|Science Fiction|Space Exploration|Spies/Secret Agents,25696,7.77179
55,36218,dominion,Card Drafting|Deck / Pool Building|Hand Management,Crowdfunding: Wspieram|Dominion|Mensa Select,Card Game|Medieval,56859,7.69584
56,172386,mombasa,Action / Movement Programming|Area Control / Area Influence|Card Drafting|Deck / Pool Building|Hand Management|Simultaneous Action Selection|Stock Holding|Variable Player Powers|Worker Placement,Admin: Better Description Needed!|Colonial Theme|Continent: Africa|Tableau Building,Economic,5195,8.0078
57,2511,sherlock-holmes-consulting-detective-thames-murder,Co-operative Play|Storytelling,Characters: Sherlock Holmes|Cities: London|Country: England|Mystery Novels|Solitaire Games,Deduction|Murder/Mystery|Novel-based|Post-Napoleonic|Spies/Secret Agents,9293,7.84425
58,144733,russian-railroads,Worker Placement,Admin: Better Description Needed!|Country: Russia,Industry / Manufacturing|Trains,9173,7.82659
59,102680,trajan,Area Movement|Card Drafting|Hand Management|Set Collection,Ancient Rome|Quined Master Print Edition Series,Ancient|Political,9888,7.81345
60,42,tigris-euphrates,Area Control / Area Influence|Hand Management|Set Collection|Tile Placement,Desert Theme|Knizia tile-laying trilogy|Middle Eastern Theme|Rivers: Euphrates|Rivers: Tigris|Tigris & Euphrates,Abstract Strategy|Ancient|Civilization|Territory Building,20359,7.71997
61,194655,santorini,Grid Movement|Tile Placement|Variable Player Powers,3D Games|5x5 grid|Country: Greece|Crowdfunding: Kickstarter|Games by the Game Artisans of Canada|Islands: Santorini,Abstract Strategy|Ancient|Mythology,5164,8.0409
62,30549,pandemic,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Pandemic,Medical,63859,7.67069
63,73439,troyes,Area Control / Area Influence|Dice Rolling|Worker Placement,Cities: Troyes (France)|Country: France,Dice|Economic|Medieval,11511,7.75873
64,521,crokinole,Partnerships,Admin: Better Description Needed!|Crokinole|Finger Flicking Games,Action / Dexterity,7789,7.80701
65,104162,descent-journeys-dark-second-edition,Action Point Allowance System|Dice Rolling|Grid Movement|Hand Management|Modular Board|Partnerships|Variable Player Powers,Campaign Games|Components: Miniatures|Descent|Monsters|The Realms of Terrinoth,Adventure|Exploration|Fantasy|Fighting|Miniatures,14945,7.79391
66,155426,castles-mad-king-ludwig,Card Drafting|Pattern Building|Set Collection|Tile Placement,Country: Germany|Crowdfunding: Wspieram|Mensa Select,Post-Napoleonic,13646,7.72998
