rank,ID,name,year,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,min_players,max_players,play_time,min_play_time,max_play_time,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
846,152765,thunderstone-advance-worlds-collide,2014,Card Drafting|Deck / Pool Building|Hand Management,Solitaire Games|Thunderstone|Thunderstone Advance,Card Game|Fantasy,683,7.92963,6.50269,1696,1,5,60,60,60,2|5|2,3|6|0,5|4|0,4|2|2,NA,0|0|0|0|0|0|0|3|0,0|0|2|4|0,0,2
847,701,house-divided,1981,Dice Rolling|Point to Point Movement,"",American Civil War|Wargame,1704,7.10514,6.50203,3403,2,2,240,240,240,2|6|12,26|1|0,NA,NA,NA,0|0|0|0|0|0|4|2|5,10|2|1|1|0,0,2
848,22,magic-realm,1979,Action / Movement Programming|Modular Board|Rock-Paper-Scissors|Role Playing|Simultaneous Action Selection|Variable Player Powers,Solitaire Games,Adventure|Exploration|Fantasy,1720,7.14641,6.50104,3223,1,16,240,240,240,7|23|3,8|25|1,21|17|0,21|17|1,NA,0|0|0|0|1|0|0|5|4,0|2|5|3|2,0,4
849,37387,steel-driver,2008,Auction/Bidding|Route/Network Building|Stock Holding,Country: USA|Treefrog Line,Trains|Transportation,1770,7.02805,6.49998,2048,3,6,60,60,60,0|0|16,0|0|19,2|17|7,26|9|1,NA,0|0|0|0|0|0|1|1|0,11|1|0|0|0,0,2
850,1403,turn-tide,1997,Hand Management|Simultaneous Action Selection,"",Card Game,3171,6.80998,6.49963,4378,3,5,30,30,30,0|0|34,0|0|34,8|29|18,34|20|1,NA,0|0|0|0|1|4|13|1|1,27|1|0|0|0,0,1
851,1915,middle-earth,1995,Area Movement|Dice Rolling|Hand Management|Variable Player Powers,CCGs (Collectible Card Games)|Solitaire Games|Tolkien Games,Adventure|Card Game|Collectible Components|Exploration|Fantasy|Fighting|Novel-based,1568,7.20825,6.49905,2486,1,5,90,90,90,3|19|12,46|2|0,4|21|6,2|9|15,NA,0|0|0|0|0|0|2|9|4,0|0|2|13|15,0,3
852,115,im-boss,1994,Dice Rolling|Hand Management|Roll / Spin and Move|Set Collection|Take That,Admin: Better Description Needed!|Gryphon Family Games series,Negotiation,3084,6.82835,6.49782,3383,3,6,60,60,60,0|0|35,0|0|37,2|13|30,9|32|12,NA,0|0|0|0|0|2|7|3|1,12|0|0|0|0,0,1
853,103185,walnut-grove,2011,Tile Placement|Worker Placement,Solitaire Games|Tableau Building,American West|Farming,1814,7.01672,6.49692,1984,1,4,60,30,60,3|16|2,7|15|3,11|9|2,16|9|1,1|0|9,0|0|0|0|2|1|3|2|0,15|0|0|0|0,0,2
854,6351,gulo-gulo,2003,Modular Board,"",Action / Dexterity|Animals|Children's Game|Humor,2589,6.87431,6.49643,2749,2,6,20,15,20,0|2|25,4|21|9,17|15|2,28|7|0,NA,8|24|12|1|1|0|0|0|0,18|0|0|0|0,0,1
855,146418,warhammer-diskwars,2013,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Player Elimination|Rock-Paper-Scissors|Variable Player Powers,Warhammer Fantasy Board Games,Dice|Fantasy|Wargame,1442,7.29405,6.49561,3225,2,4,90,45,90,0|5|14,30|5|0,2|18|5,5|22|0,0|1|10,0|0|0|0|0|1|4|10|7,0|2|10|14|0,0,2
856,38765,ground-floor,2012,Worker Placement,Crowdfunding: Kickstarter|Games by Gamesmiths|TMG Originals,City Building|Economic|Industry / Manufacturing,1421,7.15053,6.49404,2175,2,6,150,90,150,0|2|24,1|21|18,9|36|1,30|18|0,NA,0|0|0|0|0|0|3|4|7,2|16|2|3|0,0,3
857,195421,near-and-far,2017,Card Drafting|Dice Rolling|Route/Network Building|Set Collection|Storytelling|Variable Player Powers|Worker Placement,Admin: Unreleased Games|Arzium Setting|Crowdfunding: Kickstarter,Adventure|Exploration,556,8.3084,6.49385,2413,2,4,120,60,120,0|0|11,5|10|1,9|6|0,6|10|0,0|0|9,0|0|0|0|0|1|3|1|0,0|0|1|2|1,0,2
858,94104,omen-reign-war,2011,Area Control / Area Influence|Card Drafting|Hand Management|Variable Player Powers,Admin: Better Description Needed!|Country: Greece|Crowdfunding: Kickstarter,Ancient|Card Game|Fantasy|Mythology,1040,7.40644,6.49381,2208,2,2,30,30,30,0|0|12,16|2|0,NA,NA,NA,0|0|0|0|0|0|1|4|1,0|1|7|1|0,0,2
859,103092,helvetia,2011,Action Point Allowance System|Area Control / Area Influence|Worker Placement,Country: Switzerland,City Building,1680,7.03821,6.49122,1856,2,4,90,90,90,0|0|13,0|16|8,9|18|0,25|6|1,0|0|13,0|0|0|0|0|1|2|8|0,25|0|0|0|0,0,3
860,37907,diamonds-club,2008,Set Collection|Worker Placement,"",Economic|Industry / Manufacturing,1574,7.08613,6.49101,1346,2,4,75,75,75,0|0|14,2|29|2,9|23|2,26|7|1,0|0|12,0|0|0|0|0|0|8|1|0,18|2|0|0|0,0,2
861,254,empires-arms,1983,Area Movement|Dice Rolling|Secret Unit Deployment|Simulation|Variable Player Powers,"",Economic|Napoleonic|Negotiation|Political|Wargame,1072,7.53172,6.49061,1791,2,7,12000,6000,12000,0|1|25,0|4|21,0|5|18,0|7|18,NA,0|0|0|0|0|0|0|0|3,0|1|2|7|4,0,4
862,24827,traders-osaka,2006,Commodity Speculation|Hand Management|Set Collection,"",Ancient|Card Game|Economic,2384,6.88242,6.48968,3102,2,4,30,30,30,1|0|28,44|16|2,21|30|4,6|23|21,0|1|25,0|0|0|0|0|3|5|4|0,14|0|0|0|0,0,2
863,113401,timeline-historical-events,2011,"",Timeline,Card Game|Educational|Trivia,2884,6.83537,6.48925,5259,2,8,15,15,15,0|1|4,2|5|1,3|5|0,6|3|0,NA,0|0|0|0|0|3|0|3|0,1|2|0|0|0,0,1
864,42487,lost-cities-board-game,2008,Hand Management|Set Collection,Lost Cities,Adventure|Exploration,2817,6.83193,6.48915,3850,2,4,60,30,60,0|1|11,3|14|3,13|8|0,12|8|1,0|0|9,0|0|0|0|4|2|2|0|0,8|0|0|0|0,0,1
865,2122,vampire-eternal-struggle,1994,Hand Management|Voting,CCGs (Collectible Card Games)|From RPG books to board games|Vampires,Card Game|Collectible Components|Fighting|Horror|Political,1966,7.08178,6.48881,2483,2,5,120,120,120,0|0|45,0|9|41,3|17|25,18|37|3,NA,0|0|0|0|0|0|0|12|6,0|1|0|20|2,0,3
866,90040,pergamon,2011,Set Collection,Archaeology|Country: Greece|Country: Turkey,Ancient,2003,6.95528,6.48852,2230,2,4,45,45,45,0|0|20,11|36|5,35|26|0,19|24|8,0|0|19,0|0|0|0|1|2|10|2|0,24|0|0|0|0,0,2
867,7805,fearsome-floors,2003,Grid Movement|Modular Board,Monsters,Horror|Racing,6240,6.65678,6.488,6275,2,7,60,60,60,0|0|56,11|36|36,19|60|9,43|47|2,NA,0|0|0|0|3|21|13|0|0,49|1|0|0|0,0,1
868,71836,onirim,2010,Co-operative Play|Hand Management|Set Collection,Oniverse|Solitaire Games,Card Game|Exploration|Fantasy|Maze,4074,6.7389,6.48771,6873,1,2,15,15,15,71|22|3,23|48|5,NA,NA,NA,0|0|0|0|2|17|7|2|1,50|1|0|0|0,0,1
869,24773,underground,2006,Route/Network Building,Cities: London,Trains|Transportation,2156,6.91668,6.48745,1913,2,5,60,60,60,0|1|29,21|27|4,45|15|1,11|25|17,NA,0|0|0|0|0|3|6|0|0,17|2|0|0|0,0,2
870,394,kahuna,1998,Area Control / Area Influence|Card Drafting|Hand Management|Route/Network Building|Take That,Kosmos two-player series|Tropical theme,Abstract Strategy,6141,6.66263,6.48744,8536,2,2,40,30,40,0|0|30,39|1|0,NA,NA,NA,0|0|0|0|0|5|9|2|0,24|0|0|0|0,0,2
871,21920,leonardo-da-vinci,2006,Area Control / Area Influence|Hand Management|Worker Placement,Cities: Florence|Leonardo da Vinci|Quined Master Print Edition Series,Renaissance,3230,6.79601,6.48626,4360,2,5,90,90,90,0|1|26,0|20|21,5|38|2,34|15|0,NA,0|0|0|0|0|0|2|7|1,21|0|0|0|0,0,3
872,165872,liberty-or-death-american-insurrection,2016,Area Control / Area Influence|Variable Phase Order|Variable Player Powers,GMT COIN Series,American Revolutionary War|Political|Wargame,638,8.08136,6.48592,2184,1,4,360,180,360,2|10|3,3|12|1,1|10|3,20|2|1,0|0|8,0|0|0|0|0|0|0|4|6,0|0|0|9|0,0,4
873,157096,historia,2014,Area Control / Area Influence|Hand Management|Simultaneous Action Selection,Crowdfunding: Giochistarter|Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede,Civilization,1750,7.04604,6.48577,2434,1,6,180,30,180,5|10|7,2|6|13,6|13|3,11|16|1,NA,0|0|0|0|0|0|1|4|2,12|0|0|0|0,0,3
