rank,ID,name,year,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,min_players,max_players,play_time,min_play_time,max_play_time,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
253,3685,hammer-scots,2002,Area Movement|Area-Impulse|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Secret Unit Deployment|Simultaneous Action Selection,Block wargames|Country: Scotland,Medieval|Wargame,3408,7.56854,7.09582,4352,2,2,180,120,180,0|2|26,40|1|0,NA,NA,NA,0|0|0|0|0|0|1|15|0,0|18|1|0|0,0,2
254,138161,firefly-game,2013,Area Movement|Card Drafting|Dice Rolling|Pick-up and Deliver|Take That|Trading|Variable Player Powers,Firefly: The Game|Solitaire Games|TV Series: Firefly,Movies / TV / Radio theme|Science Fiction|Space Exploration|Travel,7100,7.41525,7.09297,12961,1,5,240,120,240,9|61|29,25|84|12,75|52|1,57|59|17,NA,0|0|0|0|0|3|11|27|8,1|4|7|42|5,0,2
255,127398,legends-andor,2012,Area Movement|Co-operative Play|Dice Rolling|Variable Player Powers,Campaign Games|Legends of Andor,Adventure|Fantasy|Fighting|Puzzle,8111,7.32805,7.09172,13617,2,4,90,60,90,13|67|29,19|100|8,30|87|7,115|27|5,1|7|47,0|0|1|1|6|24|26|13|4,0|0|4|53|6,0,2
256,188834,secret-hitler,2016,Partnerships|Player Elimination|Voting,Crowdfunding: Kickstarter|Werewolf / Mafia,Bluffing|Card Game|Deduction|Party Game|Political|Print & Play|World War II,4094,7.62631,7.09073,6125,5,10,45,45,45,0|0|44,0|0|44,0|0|44,0|2|43,NA,0|0|0|0|0|0|1|6|7,5|10|0|0|0,0,1
257,62222,commands-colors-napoleonics,2010,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Hex-and-Counter|Modular Board,Commands & Colors|Commands & Colors: Napoleonics,Napoleonic|Wargame,1843,7.97298,7.08975,3417,2,2,90,90,90,0|8|9,27|4|0,NA,NA,NA,0|0|0|0|0|0|5|6|2,0|2|8|0|0,0,2
258,146791,shadows-brimstone-city-ancients,2014,Co-operative Play|Dice Rolling|Grid Movement|Modular Board|Role Playing|Variable Player Powers,Admin: Better Description Needed!|Campaign Games|Crowdfunding: Kickstarter|Shadows of Brimstone,Adventure|American West|Exploration|Fighting|Horror|Miniatures,2157,8.04356,7.08918,4564,1,4,120,120,120,7|31|14,10|30|4,22|25|2,30|17|4,5|17|18,1|0|0|0|0|3|6|16|6,0|0|4|26|1,0,3
259,90419,airlines-europe,2011,Card Drafting|Route/Network Building|Set Collection|Stock Holding,"",Aviation / Flight|Economic,5466,7.37627,7.08667,6502,2,5,75,75,75,0|0|70,4|48|46,25|72|5,71|32|0,NA,0|0|0|0|0|7|18|7|0,37|2|0|0|0,0,2
260,62227,labyrinth-war-terror-2001,2010,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Point to Point Movement|Variable Player Powers,Middle Eastern Theme|Solitaire Games|Solitaire Wargames,Modern Warfare|Political|Religious|Wargame,3224,7.59241,7.08378,6493,1,2,180,180,180,26|45|11,71|11|0,NA,NA,NA,0|0|0|0|0|0|0|4|22,0|0|6|51|7,0,3
261,128671,spartacus-game-blood-treachery,2012,Auction/Bidding|Betting/Wagering|Dice Rolling|Grid Movement|Hand Management|Trading|Variable Player Powers,Ancient Rome|Gladiators,Ancient|Fighting|Movies / TV / Radio theme|Negotiation,4835,7.47874,7.08328,6246,3,4,150,150,150,0|0|49,0|3|59,3|59|10,79|13|0,9|6|18,0|0|0|0|0|1|3|4|13,0|4|17|3|1,0,2
262,34219,biblios,2007,Auction/Bidding|Card Drafting|Hand Management|Memory|Press Your Luck|Set Collection,"",Card Game|Economic|Medieval|Religious,10188,7.24735,7.08241,13119,2,4,30,30,30,0|0|101,49|114|28,109|86|2,78|95|11,0|2|81,0|1|0|0|2|21|15|1|0,56|1|0|0|0,0,1
263,158899,colt-express,2014,Action / Movement Programming|Hand Management|Memory|Modular Board|Take That|Variable Player Powers,3D Games,American West|Fighting|Trains,12472,7.23361,7.08102,17901,2,6,40,30,40,0|1|114,1|18|121,7|97|42,60|96|4,NA,0|0|1|1|11|28|7|1|0,40|3|0|0|1,0,1
264,125618,libertalia,2012,Hand Management|Set Collection|Simultaneous Action Selection|Variable Phase Order,"",Card Game|Pirates,9084,7.26278,7.08053,10951,2,6,45,45,45,0|0|73,7|40|77,20|87|14,80|59|4,NA,0|0|0|0|0|8|13|10|3,0|1|19|12|3,0,2
265,475,taj-mahal,2000,Auction/Bidding|Card Drafting|Hand Management|Route/Network Building|Set Collection,Alea Big Box|Asian Theme|Country: India,Bluffing|Political,6257,7.32987,7.07921,6830,3,5,100,75,100,0|0|71,0|8|69,10|57|36,88|28|0,NA,0|0|0|0|0|1|4|9|1,28|0|0|0|0,0,3
266,171668,grizzled,2015,Co-operative Play|Hand Management|Press Your Luck|Variable Player Powers,"",Card Game|World War I,6087,7.35292,7.07828,10770,2,5,30,30,30,0|2|38,3|12|34,9|46|6,29|29|2,NA,0|0|0|0|0|2|14|2|1,1|10|6|0|0,0,1
267,113924,zombicide,2012,Action Point Allowance System|Co-operative Play|Dice Rolling|Hand Management|Modular Board|Player Elimination|Variable Player Powers,Crowdfunding: Kickstarter|Solitaire Games|Zombicide,Horror|Miniatures|Zombies,11304,7.31657,7.07418,16301,1,6,180,45,180,21|92|32,45|89|19,105|51|5,51|83|27,NA,0|0|0|1|2|22|30|21|12,5|62|6|0|0,0,2
268,162082,deus,2014,Grid Movement|Hand Management|Modular Board|Route/Network Building,Tableau Building,Civilization|Mythology,4786,7.39695,7.07378,5496,2,4,90,60,90,0|1|48,26|59|10,38|45|0,33|45|8,0|0|38,0|0|0|0|0|1|9|6|3,3|8|17|2|0,0,2
269,141572,paperback,2014,Card Drafting|Co-operative Play|Deck / Pool Building,Crowdfunding: Kickstarter,Card Game|Print & Play|Word Game,4902,7.39099,7.07279,8378,2,5,45,45,45,0|15|26,34|20|0,16|32|1,9|28|8,NA,0|0|0|0|1|3|4|2|0,0|2|1|2|10,0,1
270,6472,game-thrones-first-edition,2003,Area Movement|Auction/Bidding|Hand Management|Memory|Player Elimination|Simultaneous Action Selection|Variable Player Powers,A Game of Thrones: The Board Game|A Song of Ice and Fire,Bluffing|Fantasy|Negotiation|Novel-based|Political|Wargame,9370,7.28942,7.06785,8930,3,5,180,180,180,0|0|103,0|1|109,1|23|115,11|93|45,NA,0|0|0|0|0|0|2|8|29,0|42|21|1|0,0,3
271,198994,hero-realms,2016,Card Drafting|Deck / Pool Building|Hand Management,Crowdfunding: Kickstarter,Card Game|Fantasy|Fighting,2190,7.86844,7.06785,5127,1,4,30,20,30,0|8|6,21|1|1,0|15|2,1|13|3,0|1|8,0|0|0|0|0|3|4|0|0,0|0|2|0|0,0,1
272,166669,san-juan-second-edition,2014,Hand Management|Set Collection|Variable Phase Order,Alea Medium Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,Card Game|City Building|Economic,2612,7.65519,7.06736,4454,2,4,60,45,60,0|1|16,14|18|0,17|11|0,6|20|2,0|0|11,0|0|0|0|0|2|3|4|0,0|0|2|6|0,0,2
273,34119,tales-arabian-nights,2009,Dice Rolling|Point to Point Movement|Role Playing|Storytelling|Variable Player Powers,Cities: Samarkand|Crowdfunding: Giochistarter|Solitaire Games,Adventure|Arabian|Book|Exploration|Fantasy,8834,7.28095,7.06595,12855,1,6,120,120,120,3|46|94,44|122|19,148|47|2,34|119|23,NA,0|0|0|1|1|7|16|27|6,0|0|0|70|52,0,2
274,27173,vikings,2007,Auction/Bidding|Tile Placement,Vikings,Economic|Medieval|Nautical|Territory Building,6845,7.2927,7.06499,6555,2,4,60,60,60,0|1|80,61|88|20,105|56|2,35|84|33,0|1|71,0|0|0|0|0|7|17|4|2,48|4|0|0|0,0,2
275,39351,automobile,2009,Commodity Speculation|Variable Player Powers,Automotive|Treefrog Line,Economic|Industry / Manufacturing,4749,7.3717,7.06483,4699,3,5,120,120,120,0|0|57,0|5|58,5|50|40,44|61|4,NA,0|0|0|0|0|1|2|16|5,23|16|2|0|0,0,3
276,163968,elysium,2015,Card Drafting|Set Collection,Country: Greece|Tableau Building,Ancient|Card Game|Mythology,5236,7.36475,7.06441,7304,2,4,60,60,60,0|1|50,22|59|16,43|44|2,41|45|8,0|0|43,0|0|0|0|0|0|6|11|2,5|9|5|0|0,0,2
277,50,lost-cities,1999,Hand Management|Set Collection,Archaeology|Card Games: Draw and Discard Games|Kosmos two-player series|Lost Cities,Card Game|Exploration,27149,7.15004,7.06362,35066,2,2,30,30,30,1|4|178,223|16|2,NA,NA,NA,0|0|0|2|12|55|15|1|0,111|0|0|0|0,0,1
278,43570,friday,2011,Deck / Pool Building|Hand Management,Freitag-Project|Solitaire Games,Card Game|Fighting|Novel-based|Pirates,9262,7.25265,7.06254,16756,1,1,25,25,25,176|4|1,NA,NA,NA,NA,0|0|0|0|0|12|21|15|2,0|64|9|1|0,0,2
279,9625,struggle-empires,2004,Area Control / Area Influence|Area Movement|Auction/Bidding|Dice Rolling,Admin: Better Description Needed!|Colonial Theme,Age of Reason|Civilization|Fighting|Political|Territory Building,3420,7.51415,7.06209,4121,2,7,240,180,240,0|0|59,0|8|65,0|15|56,7|58|18,NA,0|0|0|0|0|0|0|7|6,1|15|8|1|0,0,3
280,3307,wallenstein-first-edition,2002,Action / Movement Programming|Action Point Allowance System|Area Control / Area Influence|Area Movement|Simultaneous Action Selection|Variable Phase Order,Country: Germany,Economic|Renaissance|Territory Building,3293,7.52988,7.06068,2652,3,5,150,150,150,1|3|29,1|7|28,4|27|15,23|24|3,NA,0|0|0|0|0|0|3|8|2,3|13|3|0|0,0,3
281,192458,51st-state-master-set,2016,Card Drafting|Hand Management|Variable Phase Order|Worker Placement,Neuroshima|Tableau Building,Card Game|City Building|Economic|Science Fiction,1916,7.90927,7.05852,3386,1,4,90,60,90,2|19|4,23|12|2,10|15|2,1|12|11,0|0|13,0|0|0|0|0|0|0|2|1,0|2|1|1|0,0,2
282,176734,manhattan-project-energy-empire,2016,Dice Rolling|Worker Placement,Crowdfunding: Kickstarter|The Manhattan Project|Solitaire Games,Civilization|Dice|Economic|Environmental|Industry / Manufacturing,1715,7.98013,7.0555,2902,1,5,120,60,120,2|8|10,4|16|9,8|17|1,15|12|0,NA,0|0|0|0|0|0|3|1|2,0|3|2|0|0,0,3
283,183562,star-wars-x-wing-miniatures-game-force-awakens-cor,2015,Action / Movement Programming|Dice Rolling|Variable Player Powers,Star Wars|Star Wars: X-Wing Miniatures Game,Aviation / Flight|Collectible Components|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,1469,8.14424,7.05539,5030,2,2,45,30,45,1|0|9,9|0|0,NA,NA,NA,0|0|0|1|0|3|5|1|0,0|0|3|2|0,0,2
284,478,citadels,2000,Card Drafting|Set Collection|Simultaneous Action Selection|Variable Phase Order|Variable Player Powers,Fantasy Flight Silver Line Games|Tableau Building,Bluffing|Card Game|City Building|Fantasy|Medieval,38163,7.14343,7.05517,50260,2,8,60,20,60,1|4|461,148|254|331,153|333|220,244|433|59,NA,0|0|0|0|11|29|70|27|2,0|67|128|6|2,0,2
285,39938,carson-city,2009,Area Control / Area Influence|Dice Rolling|Tile Placement|Worker Placement,"Cities: Carson City (Nevada, USA)|Country: USA|Quined Master Print Edition Series",American West|City Building|Economic,5782,7.31333,7.05422,5157,2,5,90,90,90,0|0|67,4|52|33,21|66|5,74|25|1,NA,0|0|0|0|0|0|6|23|4,49|1|0|0|0,0,3
286,119506,freedom-underground-railroad,2012,Co-operative Play|Pick-up and Deliver|Point to Point Movement|Variable Player Powers,Country: USA|Crowdfunding: Kickstarter|Solitaire Games,American Civil War|Economic|Educational|Political|Puzzle,2553,7.63482,7.05278,4209,1,4,120,60,120,10|30|2,16|27|2,16|22|1,16|20|3,0|1|17,0|0|0|0|0|0|7|6|2,0|0|9|1|0,0,2
287,133848,euphoria-build-better-dystopia,2013,Dice Rolling|Hand Management|Set Collection|Variable Player Powers|Worker Placement,Crowdfunding: Kickstarter|Euphoria|Mensa Select,Science Fiction,5881,7.34354,7.05272,7882,2,6,60,60,60,0|0|54,3|43|32,10|50|8,53|31|1,NA,0|0|0|0|0|1|4|21|2,0|5|22|2|0,0,3
288,97842,last-will,2011,Action Point Allowance System|Hand Management|Worker Placement,Country: England|Tableau Building,Card Game|Economic|Humor,6872,7.26702,7.05036,7969,2,5,75,45,75,0|0|34,7|41|13,20|39|3,37|28|2,NA,0|0|0|0|0|1|5|10|2,34|5|0|0|0,0,2
289,155703,evolution,2014,Action Point Allowance System|Hand Management|Press Your Luck|Secret Unit Deployment|Simulation|Simultaneous Action Selection,Crowdfunding: Kickstarter|Evolution,Animals|Card Game|Educational|Environmental|Prehistoric|Print & Play,7363,7.28356,7.04964,10582,2,6,70,50,70,0|0|63,12|52|33,27|69|2,83|21|1,NA,0|0|0|0|0|8|14|6|3,0|4|21|4|0,0,2
290,161614,stockpile,2015,Auction/Bidding|Card Drafting|Stock Holding|Variable Player Powers,Crowdfunding: Kickstarter,Economic,2658,7.64091,7.04603,3741,2,5,45,45,45,0|0|21,3|9|14,2|27|2,19|13|0,NA,0|0|0|1|0|1|3|4|0,8|0|0|0|0,0,2
291,128271,ginkgopolis,2012,Area Control / Area Influence|Card Drafting|Simultaneous Action Selection|Tile Placement,Solitaire Games|Tableau Building,City Building|Environmental|Science Fiction|Territory Building,3802,7.43255,7.04567,3617,1,5,45,45,45,2|34|17,50|36|12,49|42|2,29|46|16,NA,0|0|0|0|0|0|3|14|1,31|1|0|0|0,0,2
292,1513,republic-rome,1990,Dice Rolling|Hand Management|Simulation|Variable Player Powers|Voting,Ancient Rome|Cities: Rome|Solitaire Games|Valley Games Classic Line|Valley Games Tactics Line,Ancient|Negotiation|Political|Wargame,3389,7.54986,7.04486,5144,1,6,300,300,300,1|17|50,0|8|62,1|19|55,10|56|17,NA,0|0|0|0|0|0|0|2|17,0|1|9|44|2,0,4
293,150,pitchcar,1995,Modular Board,Finger Flicking Games|PitchCar|Promotional Board Games|Sports: Auto Racing,Action / Dexterity|Children's Game|Party Game|Racing|Sports,7655,7.24798,7.0438,7667,2,8,30,30,30,0|11|49,2|47|27,13|56|14,35|45|2,NA,0|1|7|10|5|2|1|0|0,36|0|0|0|0,0,1
294,140603,francis-drake,2013,Dice Rolling|Press Your Luck|Secret Unit Deployment|Set Collection|Worker Placement,Crowdfunding: Kickstarter,Bluffing|Exploration|Nautical|Pirates|Renaissance,3240,7.50865,7.04336,4404,3,5,120,90,120,0|0|34,1|13|31,2|22|29,17|39|0,NA,0|0|0|0|0|0|1|10|1,14|0|0|0|0,0,2
295,9674,ingenious,2004,Hand Management|Partnerships|Pattern Building|Tile Placement,Ingenious|Mensa Select|Solitaire Games,Abstract Strategy,13030,7.17272,7.04331,14528,1,4,45,45,45,5|76|84,160|87|3,97|131|10,91|132|17,0|0|124,0|0|0|4|16|35|9|1|0,83|0|0|0|0,0,1
296,15062,shadows-over-camelot,2005,Co-operative Play|Hand Management|Partnerships|Player Elimination|Set Collection|Variable Player Powers,The Legend of King Arthur and the Knights of the Round Table|Shadows over Camelot,Adventure|Deduction|Fantasy|Medieval|Mythology,20522,7.15667,7.04232,24555,3,7,80,60,80,1|11|156,0|14|163,5|64|132,39|141|32,NA,0|0|0|0|1|12|46|17|4,0|5|63|20|0,0,2
297,166384,spyfall,2014,Role Playing|Voting,"",Bluffing|Deduction|Humor|Party Game|Spies/Secret Agents,10852,7.18866,7.04155,15850,3,8,15,15,15,0|0|76,0|0|76,0|6|75,3|56|30,NA,0|0|0|0|0|1|6|9|3,4|16|2|0|0,0,1
298,95527,madeira,2013,Area Control / Area Influence|Dice Rolling|Worker Placement,Country: Portugal,Dice|Economic|Farming|Nautical,2439,7.65603,7.03925,3900,2,4,150,60,150,1|0|23,12|35|4,15|31|0,27|15|2,0|0|16,0|0|0|0|0|0|3|4|13,21|0|0|0|0,0,4
299,196340,yokohama,2016,Grid Movement|Modular Board|Route/Network Building|Set Collection,Country: Japan|Crowdfunding: Kickstarter,Economic,1580,8.01562,7.03824,3555,2,4,90,90,90,0|0|18,6|23|3,22|5|0,4|21|0,0|0|15,0|0|0|0|0|0|2|3|0,0|3|1|0|0,0,3
300,15363,nexus-ops,2005,Area Control / Area Influence|Dice Rolling|Hand Management|Modular Board,Components: Miniatures,Exploration|Fighting|Science Fiction|Wargame,7630,7.25651,7.03817,9977,2,4,90,90,90,1|3|85,18|89|25,57|76|7,108|46|1,1|0|74,0|0|0|1|2|12|14|2|0,1|2|30|2|0,0,2
301,18,roborally,1994,Action / Movement Programming|Grid Movement|Modular Board|Simultaneous Action Selection,Robots,Miniatures|Racing|Science Fiction,19531,7.15019,7.03785,22711,2,8,120,45,120,0|4|153,7|54|134,15|128|54,83|117|11,NA,0|0|0|0|2|20|31|18|4,7|22|48|1|0,0,2
302,181521,warhammer-quest-adventure-card-game,2015,Co-operative Play|Dice Rolling|Role Playing|Variable Player Powers,Campaign Games|Solitaire Games|Warhammer Fantasy Card Games,Adventure|Card Game|Fantasy,3131,7.61167,7.03727,6682,1,4,60,30,60,14|39|7,17|30|8,8|34|4,36|16|4,0|1|29,0|0|0|0|0|0|7|7|1,0|0|1|12|0,0,2
303,159508,aquasphere,2014,Area Control / Area Influence|Area Movement|Modular Board,Crowdfunding: Kickstarter,Nautical|Science Fiction,4315,7.38623,7.03329,7399,2,4,100,100,100,0|1|29,10|33|8,13|33|0,30|20|3,0|0|27,0|0|0|0|0|0|0|9|3,18|0|0|0|0,0,3
304,133473,sushi-go,2013,Card Drafting|Hand Management|Set Collection|Simultaneous Action Selection,Country: Japan|Crowdfunding: Indiegogo|Food / Cooking,Card Game,18320,7.14527,7.02986,31567,2,5,15,15,15,0|0|102,8|71|62,52|88|2,114|36|1,NA,0|0|0|9|40|19|1|0|0,29|15|0|0|0,0,1
305,155987,abyss,2014,Auction/Bidding|Card Drafting|Hand Management|Press Your Luck|Set Collection,"",Card Game|Mythology|Science Fiction,5497,7.33236,7.02897,6750,2,4,60,30,60,0|1|48,11|46|17,21|54|0,51|13|5,0|2|41,0|0|0|0|0|3|8|9|2,0|2|20|0|1,0,2
306,151347,millennium-blades,2016,Card Drafting|Commodity Speculation|Hand Management|Set Collection|Simulation|Trading,Crowdfunding: Kickstarter,Card Game|Real-time,1735,7.98903,7.02688,3130,2,5,120,80,120,0|0|23,1|23|8,21|15|0,26|10|0,NA,0|0|0|0|1|0|4|5|3,0|0|0|11|1,0,3
307,192457,cry-havoc,2016,Area Control / Area Influence|Area Movement|Deck / Pool Building|Hand Management|Variable Player Powers,"",Fighting|Miniatures|Science Fiction|Wargame,2837,7.60808,7.02676,5279,2,4,120,90,120,0|0|30,7|30|13,17|29|6,32|18|2,0|0|23,0|0|0|0|0|0|2|7|3,0|0|6|0|0,0,3
308,42776,gears-war-board-game,2011,Area Movement|Campaign / Battle Card Driven|Co-operative Play|Dice Rolling|Hand Management|Modular Board|Variable Player Powers,Solitaire Games,Fighting|Miniatures|Science Fiction|Video Game Theme,3834,7.49429,7.02631,6233,1,4,180,60,180,21|56|6,31|53|4,28|49|2,38|32|18,2|1|46,1|0|0|0|0|0|5|14|7,0|3|22|6|2,0,2
309,22827,starcraft-board-game,2007,Area Control / Area Influence|Area Movement|Deck / Pool Building|Modular Board|Variable Player Powers,Components: Miniatures|Fantasy Flight Big Box,Civilization|Fighting|Miniatures|Science Fiction|Space Exploration|Territory Building|Video Game Theme|Wargame,6091,7.34287,7.02552,7290,2,6,240,180,240,0|3|99,29|79|40,42|90|25,113|54|4,NA,1|0|0|0|0|0|3|8|23,0|2|22|50|3,0,3
310,121288,dixit-journey,2012,Acting|Simultaneous Action Selection|Singing|Storytelling|Voting,Dixit,Card Game|Humor|Party Game,3451,7.48944,7.02494,6391,3,6,30,30,30,0|0|17,0|0|17,0|7|10,6|14|1,NA,0|0|0|0|1|0|2|2|0,8|0|0|0|0,0,1
311,586,front,1983,Campaign / Battle Card Driven|Hand Management|Simulation|Variable Player Powers,Crowdfunding: Kickstarter|Up Front Series,Card Game|Wargame|World War II,1885,7.84491,7.02309,3140,2,3,60,60,60,1|7|19,32|5|0,0|4|16,NA,NA,0|0|0|0|0|0|1|10|4,0|0|7|5|1,0,3
312,65532,defenders-realm,2010,Action Point Allowance System|Co-operative Play|Dice Rolling|Hand Management|Point to Point Movement|Variable Player Powers,Animals: Dragons|Defenders of the Realm|Solitaire Games,Adventure|Fantasy|Fighting|Miniatures,4592,7.38786,7.02234,6030,1,4,90,90,90,11|31|13,12|48|6,25|41|2,58|20|3,3|7|25,0|0|1|0|1|10|11|2|0,0|6|21|5|1,0,2
313,134726,smash-awesome-level-9000,2013,Area Control / Area Influence|Hand Management|Take That|Variable Player Powers,Smash Up|Steampunk,Card Game|Fantasy|Horror|Humor|Pirates|Prehistoric|Science Fiction|Spies/Secret Agents,5119,7.36978,7.02215,13512,2,2,45,45,45,0|0|15,3|12|4,NA,NA,NA,0|0|0|0|0|2|4|5|0,0|0|3|7|1,0,2
314,50750,belfort,2011,Area Control / Area Influence|Card Drafting|Hand Management|Worker Placement,Games by the Game Artisans of Canada|TMG Originals,City Building|Economic|Fantasy,5003,7.32387,7.02077,5915,2,5,120,120,120,0|0|70,8|45|48,39|68|5,66|51|2,NA,0|0|0|0|1|0|4|16|1,0|27|3|0|0,0,3
315,167400,ashes-rise-phoenixborn,2015,Dice Rolling|Hand Management|Variable Player Powers,"",Card Game|Dice|Fantasy|Fighting,3083,7.61336,7.02006,5882,2,4,120,30,120,0|0|23,49|5|0,1|20|17,1|20|19,0|0|23,0|0|0|0|0|1|6|6|0,0|0|1|15|0,0,2
316,119432,snowdonia,2012,Card Drafting|Hand Management|Worker Placement,Country: Wales|Crowdfunding: Kickstarter|Snowdonia|Solitaire Games,Trains,3264,7.46821,7.01748,4075,1,5,90,30,90,9|30|14,11|37|5,21|31|0,31|26|0,NA,0|0|0|0|0|0|7|10|0,0|3|16|0|0,0,3
317,21790,thurn-and-taxis,2006,Card Drafting|Hand Management|Route/Network Building|Set Collection,Country: Germany|Thurn and Taxis,Renaissance|Transportation,15277,7.12841,7.01515,16719,2,4,60,60,60,0|2|122,69|129|28,122|92|2,125|76|12,0|3|98,0|0|0|0|2|13|26|9|0,62|9|1|0|1,0,2
318,2346,dvonn,2001,Grid Movement,Combinatorial|GIPF Project|Mensa Select,Abstract Strategy,3623,7.42935,7.01074,4550,2,2,30,30,30,0|0|26,34|0|0,NA,NA,NA,0|0|0|0|0|4|9|2|1,22|0|0|0|0,0,2
319,18098,napoleons-triumph,2007,Area Movement|Secret Unit Deployment|Simulation,Block wargames,Napoleonic|Wargame,1532,7.97662,7.0098,2619,2,2,180,180,180,0|2|32,53|7|0,NA,NA,NA,0|0|0|0|0|0|0|10|11,21|1|2|0|0,0,3
320,24800,conflict-heroes-awakening-bear-russia-1941-42,2008,Action Point Allowance System|Dice Rolling|Hex-and-Counter|Modular Board|Simulation,Conflict of Heroes|Country: Russia|Solitaire Games|Solitaire Wargames,Wargame|World War II,2826,7.56393,7.00976,3688,1,4,120,120,120,5|22|21,62|7|3,2|9|19,8|29|8,0|0|30,2|0|0|0|0|2|15|10|4,2|20|6|3|2,0,2
321,121408,trains,2012,Deck / Pool Building|Hand Management|Route/Network Building,AEG: Big in Japan|AEG: Destination Fun,Card Game|Territory Building|Trains,5967,7.25453,7.00719,8014,2,4,45,45,45,0|2|30,9|43|8,34|26|0,25|26|2,0|1|22,0|0|0|0|0|4|9|4|0,0|13|15|2|0,0,2
322,58281,summoner-wars,2009,Action Point Allowance System|Dice Rolling|Grid Movement|Hand Management|Take That|Variable Player Powers,Summoner Wars,Card Game|Fantasy|Fighting,5078,7.33634,7.00629,4736,2,4,60,30,60,0|3|45,74|5|1,1|16|36,21|31|10,0|1|42,0|0|0|1|1|14|9|3|1,0|3|23|6|0,0,2
323,131357,coup,2012,Memory|Player Elimination|Take That|Variable Player Powers,Crowdfunding: Kickstarter|Dystopian Universe|Postcard Box Games,Bluffing|Card Game|Deduction|Party Game|Political,21421,7.11972,7.00529,34329,2,6,15,15,15,2|0|171,9|26|177,16|119|81,92|142|6,NA,0|0|0|2|3|13|26|8|3,9|40|2|0|0,0,1
324,26997,1989-dawn-freedom,2012,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Country: Czech Republic|Country: Germany|Country: Hungary|Country: Poland|Country: Romania|Country: Slovakia,Political,1632,7.89461,7.0049,2914,2,2,150,150,150,0|0|21,30|0|0,NA,NA,NA,0|0|0|0|0|0|0|2|5,0|0|0|17|0,0,3
325,31999,tzaar,2007,Grid Movement,Combinatorial|GIPF Project,Abstract Strategy,2154,7.67582,7.00258,3193,2,2,60,30,60,0|0|21,30|1|0,NA,NA,NA,0|0|0|0|0|9|3|2|0,17|0|0|0|0,0,2
326,36235,duke,2013,Grid Movement|Tile Placement,Crowdfunding: Kickstarter|The Duke|Mensa Select,Abstract Strategy|Medieval,2752,7.56036,7.00079,4881,2,2,30,30,30,0|1|11,25|0|0,NA,NA,NA,0|0|0|0|0|2|2|5|0,8|1|0|0|0,0,2
327,20437,lords-vegas,2010,Area Control / Area Influence|Dice Rolling|Tile Placement|Trading,"Cities: Las Vegas (Nevada, USA)",City Building|Economic,4504,7.3312,6.99971,6126,2,4,60,60,60,0|1|28,2|21|21,10|32|5,44|5|1,2|4|16,0|0|0|0|0|0|3|5|0,11|1|0|0|0,0,2
328,113997,tajemnicze-domostwo,2013,Co-operative Play|Hand Management,Admin: Better Description Needed!|Mysterium,Deduction|Murder/Mystery,3922,7.38033,6.9983,3889,2,7,60,30,60,0|0|42,3|22|19,11|27|9,32|21|1,NA,0|0|0|0|3|6|6|0|0,36|5|0|0|0,0,1
329,31730,chicago-express,2007,Auction/Bidding|Route/Network Building|Stock Holding,"Cities: Baltimore (Maryland, USA)|Cities: Buffalo (New York, USA)|Cities: Chicago (Illinois, USA)|Cities: Cincinnati (Ohio, USA)|Cities: Cleveland (Ohio, USA)|Cities: Detroit (Michigan, USA)|Cities: New York (New York, USA)|Cities: Philadelphia (Pennsylvania, USA)|Cities: Pittsburgh (Pennsylvania, USA)|Cities: Richmond (Virginia, USA)|Cities: Washington D.C.|Country: USA|Cube Rails|Historic Railroads System|Winsome Essen Sets",Economic|Post-Napoleonic|Trains|Transportation,6012,7.23627,6.99719,6365,2,6,60,60,60,0|0|84,3|25|88,30|96|16,100|43|3,NA,0|0|0|0|1|2|12|16|7,36|3|0|0|0,0,2
330,182134,evolution-climate,2016,Action Point Allowance System|Hand Management|Press Your Luck|Secret Unit Deployment|Simulation,Crowdfunding: Kickstarter|Evolution,Animals|Card Game|Educational|Environmental|Fighting|Prehistoric,1664,7.94877,6.99299,4287,2,6,75,60,75,0|2|13,3|9|9,6|19|0,18|7|0,NA,0|0|0|0|0|1|3|3|1,0|0|1|1|0,0,2
331,155624,specter-ops,2015,Dice Rolling|Grid Movement|Partnerships|Point to Point Movement|Secret Unit Deployment|Variable Player Powers,"",Deduction|Fighting|Miniatures|Science Fiction|Spies/Secret Agents,3586,7.41296,6.99143,6287,2,5,90,60,90,0|0|54,22|42|11,39|25|8,22|33|10,NA,0|0|0|0|0|0|9|5|0,0|3|10|0|0,0,2
332,204583,kingdomino,2016,Card Drafting|Tile Placement|Variable Phase Order,Admin: Better Description Needed!,City Building|Medieval|Territory Building,3274,7.47205,6.99125,5189,2,4,20,15,20,0|0|40,37|18|7,10|42|5,44|20|0,0|0|34,0|0|4|5|14|6|1|0|0,8|0|0|0|0,0,1
